"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"16_25_49",0.120873386458118,0,0,0,0.0328387909123807,0,0.0827878837868241,0.0194982092606713,0,0,0,0,0,0,0,0,0,0,0,0.482355142984827,0,0,0,0,0,0.00527510379158827,0,0,0.0589938979466288,0,0.0714754577503943,0,0,0,0.00934533638491991,0,0,0,0.0265131846345157,0,0,0,0,0.0161238763911891,0,0,0.00320868378639936,0,0,0,0,0,0,0,0,0.018592962546357,0
"17",0,0,0,0,0,0,0,0,0,0.0240423150638688,0,0,0.148707767831112,0.0122827077316544,0,0,0,0.168235515972545,0,0,0,0,0,0,0,0,0,0,0.00789556821164337,0.00585301070668807,0,0.0977217963449934,0,0,0,0.15630851876983,0,0,0,0,0,0.0388814707303245,0,0,0.272892589895277,0,0,0,0.02340005802882,0,0,0,0,0,0.0650506262239604,0,0
"18",0,0.0244513097886984,0,0,0,0.209664029544422,0,0,0,0,0,0.148707767831112,0,0.0392545021856766,0,0,0.0900657042253055,0.020135582914719,0,0,0,0,0.0565192417100258,0,0,0,0,0,0,0,0,0.00950685274778027,0.17879993342656,0,0,0,0,0,0,0,0,0,0.0589039570801078,0,0,0,0,0,0.0755171648898927,0,0.0565391174429744,0.0183113664732307,0.00857535617161766,0,0.0763768006446239,0.0130818854492262,0.0389058057704412
"20",0.0180446201791752,0,0,0,0,0.0561176022568464,0,0.0104074874788844,-0.0743284917577616,0,0,0.0122827077316544,0.0392545021856766,0,0,0,0,0,0.0927556531538525,0,0,0,0.0640035862686219,0,0.0789083414897764,0.0195218416387953,0,0.11133429752493,0,0,0,0,0.00821489123741704,0,0,0,0.111869387612785,0.00848883925330405,0,0,0,0.00118332209529054,0,0,0,0,0,0,0,0,0.0802757338808813,0,0,0,0,0,0.0533380756142902
"21_26_51_60",0,0,0,0.174619859426699,0,0,0,0,0,0,0,0,0,0,0,0,0.0301638912082716,0,0,0,0.145417522316476,0.288199539167383,0.0316080051672793,0,0,0.150678538786595,0,0,0.0159647736265972,0,0,0.00801483074155931,0.168771856862473,0,0,0,0.0226974542794273,0,0,0,0.0206826486941616,0,0,0.0170272006567946,0.00869428603564901,0.0522708258917735,0,0.020447266902806,0,0.0137652017016995,0,0,0,0,0,0.0057569560064897,0.0469074732128497
"22_39_58",0,0.289663653105996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424398850563377,0,0,0,0,0,0.1163780552172,0,0,0,0,0.00276894218708312,0,0.00357529926755572,0,0,0,0,0,0,0,0.0231789497977886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531080805147697,0
"24",0,0.011751707825915,0,0,0,0.107670666567845,0,0,0.00928039707852165,0,0,0,0.0900657042253055,0,0.0301638912082716,0.0424398850563377,0,0.0138829088074317,0,0,0,0,0.176698585749923,0.0308067318923853,0.0331173124898219,0,0.109350973371867,0,0,0.0418513365734368,0,0,0,0,0,0.00270045359363896,0,0.0778096506896737,0,0,0.00738611911975392,0,0,0,0,0,0.0440369332103511,0,0,0,0,0,0,0.0111877614249483,0.0124341625719228,0.0427030854478881,0.0802309489277662
"30",0,0,0.0426762112313597,0,0,0,0.00996507264793181,0,0,0.0486474956395921,0,0.168235515972545,0.020135582914719,0,0,0,0.0138829088074317,0,0,0,-0.0498617810387492,0,0,0,0,0,0,0,0,0.0708881203223901,0,0.152227969815923,0,0,0,0.031068693941086,0,0,0,0,0,0.0971718727226362,0,0,0,0,0,0,0,0,0,0,0.00982019554968737,0,0.127210998901251,0,0
"31",0.0040446456235748,0,0,0,0.336233701859928,0.0270128048491364,0.111638791596997,0.0616361726542457,0,0,0,0,0,0.0927556531538525,0,0,0,0,0,0,0,0,0,0.0232933230066709,0.0139813297502251,0,0.106426645929974,0,0,0,0,0,0,0.0245291181780214,0,0,0,0,0,0,0,0,0,0,0,0,0.0043545392791317,0,0,0,0,0,0,0,0.0404683028352814,0,0
"7_32",0.0804287118954775,0,0,0,0.255927588126493,0.0177783408372443,0.0643518128137863,0.0394473754246859,0,0,0.482355142984827,0,0,0,0,0,0,0,0,0,0.00500267371542311,0,0.000563452177820271,0,0.027039193409336,0,0,0,0,0,0,0,0,0,0.0685950967856098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
