nodes,age1,age2,age3,age4,an,bn,edi3
47,0.1369684111108771,0.11351045838673966,0.12019520343686108,0.10767100845144856,0.15603820351135358,0.07049315013618909,0.11810076316595768
4_5_28_38_46,0.09963322837150476,0.11139916012991863,0.12496549311997107,0.10456068078371245,0.11287555509023565,-,0.1564136639998786
4_5_38_46,-,-,-,-,-,0.1497861875673441,-
50,0.1699866425858758,0.1388269812945384,0.15314268476289772,0.18963362451727228,0.17838226446217278,0.16379180313314268,0.1561746624869509
53,0.15422632105060222,0.1593381425530991,0.13005257397742298,0.10169497520273081,0.15355654089491394,0.07575839189352565,0.1620449363057055
54,0.13650684267979576,0.15021252442627242,0.15376661240437936,0.15906136200824442,0.12965083493878055,0.1127062631730965,0.1299459033640251
56,0.1625003379371978,0.19565618953732353,0.17610028397857325,0.1917574568302105,0.15474067625365395,0.1603079174395536,0.16084125014343537
60,-,-,-,-,-,0.19276054976427104,-
61,0.11510272284917257,0.09922148033038922,0.11553275832541982,0.12384767142794133,0.11350980748881284,0.1168179691948455,0.1524592882123038
62,-,-,-,-,-,-,0.17969651284510574
64,0.13390451764026984,0.14432873172883798,0.15003535806635465,0.13888863155137565,0.13816140095205232,0.14981486789224865,0.18120611686551708
65,0.12007996302897295,0.13853860519283198,0.14207094662848171,0.11442417448643065,0.0984305650908292,0.09695772547590249,0.1118787061032603
66,0.16634717842030805,0.16020918854252564,0.15477105711031502,0.15923310214635022,-,0.11925432745002666,0.14580899617122808
66_68_86,-,-,-,-,0.14631958011136703,-,-
67,0.13832627358161828,0.15001773364572343,0.14890990412326924,0.13714711328747065,-,0.09835185795169836,0.11455891428533388
67_79_83_85,-,-,-,-,0.11233807407601831,-,-
68_86,0.1255820484543546,0.14443008244833738,0.13049420144798465,0.1452480541115991,-,0.07872402128166175,0.1496904207603139
69_73,-,-,-,-,0.08104141209665314,-,-
7,-,-,-,-,0.2625708890974676,-,-
70,-,-,-,-,0.04643122268332411,0.057091883061529194,-
70_79_83,0.11005434259351056,0.10529895871289661,0.11890811774163138,0.11143779403159078,-,-,0.08998911986066528
71,-0.02868491251601272,-0.03019327052000075,-0.04050173934123871,-0.002356287512833175,-0.007765027374078913,-0.013202034721807112,-0.03007786536435763
72_81,0.029249540049278457,0.04461526394477751,0.04152339942666766,0.032764773867916305,0.014618294811856052,0.009263547943649834,0.03027329367141647
74,0.10127400230163748,0.10418768528267583,0.09965024575404004,0.06802368856370483,0.06860036600421666,-,0.06357675267794503
74_75,-,-,-,-,-,0.055767557585547016,-
75,0.07701523548303695,0.1028935015772832,0.09282537598930782,0.09771896873481073,-,-,0.0711129019067606
75_88,-,-,-,-,0.0619834410358838,-,-
76,0.08163206733180435,0.07418348058523708,0.08182183887212757,0.09624447386890264,0.06560694369902219,0.05537253044442004,0.059993713592933894
77,0.1232306115404034,0.14083044719456128,0.1199480654389325,0.1267686622514256,0.07898440729180091,0.09073192071238546,0.09986477487061857
78,0.15531948922592906,0.13698324390926975,0.13712536320495314,0.14464948412053802,0.130864466021465,0.08734913473148542,0.13356969465521032
79_83_85,-,-,-,-,-,0.09127352086849086,-
7_25_32,-,-,-,-,-,0.2247659041862406,-
7_32,0.20381142911135197,0.20909105378377138,0.1814093228647235,0.14165260461132534,-,-,0.24105777970341993
80,0.1029342511037838,0.09462651031467552,0.074333575300754,0.09640945367104285,0.0833096955938374,0.054721544069022396,0.07939753163983919
82,0.07357087921729746,0.06983386869106141,0.05879250239058327,0.07828759444470025,0.04836224623162755,0.04290950793125873,0.05597195486750055
84,0.15836957146484892,0.1743901145637445,0.1952893470295135,0.19178110085186106,0.14895546636579823,0.16379892247737915,0.1534707384784666
85,0.14452298556066465,0.15950058179199678,0.16968309738083318,0.18057570129579284,-,-,0.13350088351730896
87,0.11832521064759008,0.11627016504317958,0.0977964909008814,0.11414408965717152,0.1008190476083464,0.09510867723041626,0.10348079662505993
88,0.11789813400503546,0.09294627201139105,0.08704515483951536,0.11580940648692148,-,0.06663465989096069,0.0785849031756969
