nodes,age1,age2,age3,age4,an,bn,edi3
67,0.5714285714285714,0.5656565656565656,0.6153846153846154,0.6086956521739131,-,0.5454545454545454,0.57
67_79_83_85,-,-,-,-,0.5869565217391305,-,-
68_86,0.5333333333333333,0.5833333333333334,0.5894736842105263,0.5544554455445545,-,0.5172413793103449,0.57
69_73,-,-,-,-,0.5046728971962616,-,-
7,-,-,-,-,0.5294117647058824,-,-
70,-,-,-,-,0.54,0.47619047619047616,-
70_79_83,0.5544554455445545,0.509090909090909,0.5656565656565656,0.5544554455445545,-,-,0.49137931034482757
71,0.5656565656565656,0.509090909090909,0.6086956521739131,0.5384615384615384,0.5510204081632653,0.5309734513274337,0.5757575757575758
72_81,0.5185185185185185,0.4666666666666667,0.5185185185185185,0.5490196078431373,0.4864864864864865,0.41379310344827586,0.5181818181818182
74,0.6086956521739131,0.56,0.6021505376344086,0.47863247863247865,0.5346534653465347,-,0.5428571428571428
74_75,-,-,-,-,-,0.4878048780487805,-
75,0.5714285714285714,0.56,0.5490196078431373,0.5544554455445545,-,-,0.57
75_88,-,-,-,-,0.5192307692307693,-,-
76,0.56,0.5957446808510638,0.5773195876288659,0.5233644859813084,0.5510204081632653,0.48,0.5428571428571428
77,0.5894736842105263,0.5894736842105263,0.6021505376344086,0.5833333333333334,0.54,0.4878048780487805,0.57
78,0.5773195876288659,0.6021505376344086,0.5957446808510638,0.5773195876288659,0.5625,0.5263157894736842,0.5643564356435643
79_83_85,-,-,-,-,-,0.47244094488188976,-
7_25_32,-,-,-,-,-,0.4878048780487805,-
7_32,0.5233644859813084,0.5773195876288659,0.5185185185185185,0.5233644859813084,-,-,0.5480769230769231
80,0.49557522123893805,0.5436893203883495,0.56,0.5283018867924528,0.5454545454545454,0.5042016806722689,0.5327102803738317
82,0.56,0.5185185185185185,0.49557522123893805,0.5233644859813084,0.5242718446601942,0.47619047619047616,0.5428571428571428
84,0.6021505376344086,0.6021505376344086,0.5957446808510638,0.5957446808510638,0.6,0.5660377358490566,0.6263736263736264
85,0.56,0.6021505376344086,0.5544554455445545,0.5894736842105263,-,-,0.5816326530612245
87,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.5656565656565656,0.5567010309278351,0.5405405405405406,0.5533980582524272
88,0.6021505376344086,0.5384615384615384,0.56,0.5656565656565656,-,0.5084745762711864,0.5327102803738317
89,0.56,0.5544554455445545,0.5714285714285714,0.5333333333333333,0.5294117647058824,0.5042016806722689,0.5643564356435643
8_44,0.5833333333333334,0.6363636363636364,0.6222222222222222,0.5957446808510638,0.5567010309278351,0.5555555555555556,0.6263736263736264
90,0.5384615384615384,0.5714285714285714,0.5833333333333334,0.5957446808510638,0.5567010309278351,0.5263157894736842,0.5480769230769231
91,0.5957446808510638,0.6086956521739131,0.6086956521739131,0.56,0.5510204081632653,0.5309734513274337,0.5757575757575758
9_45_55_59,-,-,-,-,-,-,0.5089285714285714
9_45_55_59_62,0.5137614678899083,0.509090909090909,0.5957446808510638,0.5137614678899083,-,-,-
9_45_59,-,-,-,-,0.5046728971962616,-,-
9_45_59_62,-,-,-,-,-,0.46875,-
