,degree,eccentricity,closeness_centrality,betweenness_centrality,degree_centrality,eigenvector_centrality,clustering
84,18,2,0.5957446808510638,0.020340117543645002,0.3214285714285714,0.16613412140006187,0.30718954248366015
90,18,2,0.5957446808510638,0.023145573246673986,0.3214285714285714,0.15840676809348575,0.30718954248366015
91,15,3,0.56,0.011621409721271547,0.26785714285714285,0.13804189023629018,0.3523809523809524
4_5_28_38_46,12,3,0.5384615384615384,0.010236365465162578,0.21428571428571427,0.09186884733378936,0.3333333333333333
30,13,2,0.5656565656565656,0.01167628487739626,0.23214285714285712,0.11038552429426592,0.34615384615384615
64,11,3,0.5283018867924528,0.0052211634819452025,0.19642857142857142,0.09066851437022688,0.45454545454545453
68_86,15,3,0.5544554455445545,0.01309547020942696,0.26785714285714285,0.12281141456456335,0.37142857142857144
23_69_73,15,2,0.5773195876288659,0.024259695250796076,0.26785714285714285,0.11380099386965563,0.2857142857142857
82,10,3,0.5233644859813084,0.0033687061100864148,0.17857142857142855,0.09159097287339653,0.4444444444444444
88,15,3,0.5656565656565656,0.012405912221334763,0.26785714285714285,0.14216945650521212,0.3333333333333333
9_45_55_59_62,11,3,0.5137614678899083,0.006643778888273992,0.19642857142857142,0.08226341027623543,0.43636363636363634
10_27,16,3,0.5773195876288659,0.015137729020773294,0.2857142857142857,0.1486686637331554,0.39166666666666666
21_26_51_60,18,3,0.5894736842105263,0.01922670328918248,0.3214285714285714,0.1679156612855828,0.33986928104575165
33,17,3,0.5833333333333334,0.019560899516383956,0.30357142857142855,0.1532760890564679,0.2867647058823529
34,9,3,0.5233644859813084,0.004717493968877892,0.1607142857142857,0.08112753393659466,0.4166666666666667
29_36_52_63,13,2,0.5656565656565656,0.011023583687557889,0.23214285714285712,0.12001144473435935,0.3076923076923077
54,23,2,0.6292134831460674,0.044046779729970904,0.4107142857142857,0.19166073146988064,0.2727272727272727
65,18,3,0.5894736842105263,0.02287934611186127,0.3214285714285714,0.15868856585948343,0.3137254901960784
66,17,3,0.5833333333333334,0.013174210921818046,0.30357142857142855,0.16413408839420618,0.36764705882352944
67,20,2,0.6086956521739131,0.03001996711776819,0.3571428571428571,0.18314088168709472,0.3
75,13,3,0.5544554455445545,0.008241047135196815,0.23214285714285712,0.11930459292000921,0.4230769230769231
15_57,8,3,0.5185185185185185,0.0038714595045668933,0.14285714285714285,0.06398281947812727,0.39285714285714285
41,16,3,0.5773195876288659,0.012014190133793581,0.2857142857142857,0.14895162177692992,0.39166666666666666
50,17,3,0.5833333333333334,0.018559235954225446,0.30357142857142855,0.14820970296979175,0.35294117647058826
85,17,2,0.5894736842105263,0.017948174706154382,0.30357142857142855,0.15901270822881777,0.3088235294117647
87,14,3,0.5656565656565656,0.011639133929736799,0.25,0.12356574669835205,0.34065934065934067
13_43,9,3,0.5333333333333333,0.0031247404854599474,0.1607142857142857,0.08852590505635949,0.4444444444444444
89,13,3,0.5333333333333333,0.011465817156548232,0.23214285714285712,0.10425589556659816,0.3974358974358974
17,12,3,0.5436893203883495,0.006835382671518452,0.21428571428571427,0.09827496610162413,0.4090909090909091
76,11,3,0.5233644859813084,0.009431148590355504,0.19642857142857142,0.08367639091421857,0.23636363636363636
80,10,3,0.5283018867924528,0.003832425546467415,0.17857142857142855,0.08937415830866495,0.4222222222222222
74,9,3,0.47863247863247865,0.002373587877067413,0.1607142857142857,0.0805688946576422,0.4722222222222222
72_81,12,3,0.5490196078431373,0.006009738154507338,0.21428571428571427,0.11227948314863738,0.4393939393939394
