"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"65",0,0,0,0.00725908279963774,0,0,0,0,0,0,0,0.177643175642072,0.0815329954474484,0,0,0,0,0,0,0,0,0,0.0417366436107308,0,0,0,0,0,0.00104528117041036,0,0.114786801718084,0.0267686811157013,0,0.0323826468585341,0,0,0.0923636673180474,0,0,-0.0836643445334481,0,0,0.0908482443491782,0,0.0444305134495709,0.0161545695453784,0,0.072796006364977,0.204789584868846,0,0.0191854487746947,0,0,0,0.0274363168902272,0,0
"66",0,0,0,0.048351673929235,0,0.0141681210951536,0.000399427163895537,0,0.052740110227736,0,0.018441887728888,0,0,0,0,0,0.0108316856011481,0,0,0,0,0,0,0.0791303213461023,0.0659636893421072,0,0.0117065875474701,0,0,0,0,0.0311018217715667,0.127542834220867,0,0.00854455668016134,0.0923636673180474,0,0.0392135673892278,0.206980194808058,0,0,0,0,0,0,0,0.161738988806362,0,0,0,0.0551111030193589,0,0,0.0260647376186147,0,0,0
"67",0,0.0152778902146596,0,0.0595701795332968,0,0,0,0,0,-0.0493844754476614,0,0,0.0855520660188684,0.00798822463247227,0,0,0.0678337365307834,0,0,0,0.0385836964784146,0,0.0221201423743672,0,0,0,0,0,0,0.0307407598398443,0,0,0,0,0,0,0.0392135673892278,0,0,0,0,0,0,0,0,0,0,0.155130215150014,0.127779722738017,0,0.0107961905527016,0.0735492800110477,0,0,0,0.188404826571249,0.146819209142226
"68_86",0,0,0.0358154535995344,0,0,0,0.132638584161887,0,0,0,0.0474932954970927,0,0,0,0,0,0.0187496716656003,0,0,0.0622155959172253,0,0,0,0.0304079444549433,0,0.0643769320324627,0,0,0,0,0.0512920201623075,0.0275019896369844,0,0.0313032469881885,0.0642973472155677,0,0.206980194808058,0,0,0,0,0,0.0448296229775408,0,0,0.0114042412345234,0.0700305032027013,0,0,0,0.0203646587514311,0.0205959129047588,0,0,0,0,0
"71",0,0,-0.0206667439765767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751173522074478,0,0,0,0,0,0,0,0,0,0,0,-0.0781935248116816,0,0,-0.0632277108697157,0,-0.0836643445334481,0,0,0,0,-0.190665798621236,0.131137233027734,-0.0491268884303541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72_81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127352789012622,0,0,0,0,0,0,0,0,-0.190665798621236,0,0,0.0478806822778516,0,0,0,0,0.033454690213893,0,0,0,0,0,0.0576946118830883,0,0.021044162589483,0
"23_69_73",0,0,-0.0113244343689353,0,0,0,0,0,0,0.0989754213724652,0,0,0,0,0,0.0302286342559072,0,0.15451080624082,0.0737178688092125,0,0,0.0500050202077697,0,0,0.0645416481149988,0,0,0,0,0.0437260670253154,-0.0521931994026811,0,0,0,0,0,0,0,0,0.131137233027734,0,0,0,0,0.0149137777763857,0,0,0,0,0,0,0,0.200444579109789,0,0,0.0534539622843142,0.00582672317107563
"74",0,0,0,0,0,0,0,0,0.000661493832655267,0,0,0,0,0,0.0199675827888235,0,0,0,0,0,0,0,0.00497766436113725,0,0,0,0,0,0.00074820251521129,0,0.0443991862053201,0.180291090013342,0,0.010746757039476,0,0.0908482443491782,0,0,0.0448296229775408,-0.0491268884303541,0.0478806822778516,0,0,0.267218645276309,0,0,0,0,0,0.0279068141971317,0,0.0515337094939911,0,0,0,0,0
"75",0,0.0183482785698285,0,0.0469927305681825,0,0,0,0,0,0,0.0101882233686052,0,0,0,0.0253128367553214,-0.0569541129638945,0.0377567170170484,0,0,0.0243067727093053,0,0,0,0,0,0.0305355151849743,0,0,0.0618058592555181,0,0,0,0,0.0332388517680711,0,0,0,0,0,0,0,0,0.267218645276309,0,0,0.0816292608333096,0.081687350630789,0,0,0,0,0,0,0.0784790897815803,0,0,0
"76",0.0354455916012055,0,0,0,0,0,0.00340148957448572,0,0.0514983722441251,0.0704000411468314,0.0204430232381317,0.0779095039114306,0,0.0805220357061974,0,0,0.016445338152013,0.0522420763927371,0,0,0.0171331318529942,0.00962772410527795,0,0,0,0,0,0,0,0,0,0,0.0124794634052231,0.059021265848676,0,0.0444305134495709,0,0,0,0,0,0.0149137777763857,0,0,0,0,0,0.00259371863414057,0.0450380873451855,0,0,0,0,0,0,0,0.0589546931337843
